"id","navisid","de","en","desc_de","synonym","desc_en","origindesc","fk_id_parent","gettyaat","gettyaatrelationtype","wikidata","wikidatarelationtype"
"AFBB45",,"hulkähnlich","Hulklike","NULL",,"NULL","tblShipType",4,"NULL","NULL","NULL","NULL"
"FFB743",,,,,,,,,,,,
"44240B",,,,,,,,,,,,
"3B4FB0",,,,,,,,,,,,
"182EC7",,,,,,,,,,,,
"B3A3D8",,,,,,,,,,,,
"B01938",,,,,,,,,,,,
"F53256",,,,,,,,,,,,
"ACCC2E",,,,,,,,,,,,
"3CB2A7",,,,,,,,,,,,
"661EE1",,,,,,,,,,,,
"EEE3E7",,,,,,,,,,,,
"4A115A",,,,,,,,,,,,
"7B17C5",,,,,,,,,,,,
"87CFA9",,,,,,,,,,,,
"E8CEE5",,,,,,,,,,,,
"012F39",,,,,,,,,,,,
"F3FE9C",,,,,,,,,,,,
"B50060",,,,,,,,,,,,
"DD7757",,,,,,,,,,,,
"F64F5D",,,,,,,,,,,,
"88B239",,,,,,,,,,,,
"2BCE44",,,,,,,,,,,,
"073A92",,,,,,,,,,,,
"C7FDB3",,,,,,,,,,,,
"50D527",,,,,,,,,,,,
"979D42",,,,,,,,,,,,
"E5C56C",,,,,,,,,,,,
"B81BCF",,,,,,,,,,,,
"FC0B13",,,,,,,,,,,,
"6CE766",,,,,,,,,,,,
"B38A08",,,,,,,,,,,,
"34FABE",,,,,,,,,,,,
"5C4D92",,,,,,,,,,,,
"E02B32",,,,,,,,,,,,
"280AC1",,,,,,,,,,,,
"BB2ECA",,,,,,,,,,,,
"F11D9F",,,,,,,,,,,,
"D64A52",,,,,,,,,,,,
"8B79CF",,,,,,,,,,,,
"B0558E",,,,,,,,,,,,
"166CDF",,,,,,,,,,,,
"C91A5D",,,,,,,,,,,,
"C2A825",,,,,,,,,,,,
"3516DE",,,,,,,,,,,,
"BF6A05",,,,,,,,,,,,
"AA4439",,,,,,,,,,,,
"96D342",,,,,,,,,,,,
"121F15",,,,,,,,,,,,
"24373C",,,,,,,,,,,,
"776D67",,,,,,,,,,,,
"B2A24F",,,,,,,,,,,,
"20A7A7",,,,,,,,,,,,
"B8D2C6",,,,,,,,,,,,
"88D4C2",,,,,,,,,,,,
"D23254",,,,,,,,,,,,
"B6ACD8",,,,,,,,,,,,
"C48985",,,,,,,,,,,,
"12A047",,,,,,,,,,,,
"2C711A",,,,,,,,,,,,
"98759F",,,,,,,,,,,,
"D3FA0E",,,,,,,,,,,,
"7E188E",,,,,,,,,,,,
"865F85",,,,,,,,,,,,
"E13C44",,,,,,,,,,,,
"3B402E",,,,,,,,,,,,
"22A416",,,,,,,,,,,,
"C9302A",,,,,,,,,,,,
"F47100",,,,,,,,,,,,
"AE7CF3",,,,,,,,,,,,
"813DE6",,,,,,,,,,,,
"2180AD",,,,,,,,,,,,
"EDAB53",,,,,,,,,,,,
"E20126",,,,,,,,,,,,
"0D13D7",,,,,,,,,,,,
"83FB05",,,,,,,,,,,,
"33D0D4",,,,,,,,,,,,
"CF5990",,,,,,,,,,,,
"973C2A",,,,,,,,,,,,
"683F3B",,,,,,,,,,,,
"FBB9BF",,,,,,,,,,,,
"FD3B6F",,,,,,,,,,,,
"56F0BB",,,,,,,,,,,,
"E0A132",,,,,,,,,,,,
"1547C3",,,,,,,,,,,,
"21A433",,,,,,,,,,,,
"98C1E8",,,,,,,,,,,,
"5A68F4",,,,,,,,,,,,
"2B9BF7",,,,,,,,,,,,
"FF5D5A",,,,,,,,,,,,
"AF083A",,,,,,,,,,,,
"06A954",,,,,,,,,,,,
"BEF10A",,,,,,,,,,,,
"50CF75",,,,,,,,,,,,
"97FB7A",,,,,,,,,,,,
"BEBA0A",,,,,,,,,,,,
"4E35DC",,,,,,,,,,,,
"191E1D",,,,,,,,,,,,
"EC55EC",,,,,,,,,,,,
"F07B7C",,,,,,,,,,,,
"8AF963",,,,,,,,,,,,
"F2BD09",,,,,,,,,,,,
"74C4D2",,,,,,,,,,,,
"8D2EF8",,,,,,,,,,,,
"0D7AE8",,,,,,,,,,,,
"E80B21",,,,,,,,,,,,
"C364ED",,,,,,,,,,,,
"38A30C",,,,,,,,,,,,
"25AC3A",,,,,,,,,,,,
"713A32",,,,,,,,,,,,
"724F7A",,,,,,,,,,,,
"2BC14F",,,,,,,,,,,,
"F3EB94",,,,,,,,,,,,
"D2D93F",,,,,,,,,,,,
"FB63AB",,,,,,,,,,,,
"707E8D",,,,,,,,,,,,
"984D74",,,,,,,,,,,,
"B6D6B5",,,,,,,,,,,,
"9CC73A",,,,,,,,,,,,
"8E554A",,,,,,,,,,,,
"7EA30D",,,,,,,,,,,,
"E67909",,,,,,,,,,,,
"AA1D44",,,,,,,,,,,,
"D19CA9",,,,,,,,,,,,
